username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
baber_sxty7gto;2017-09-15 21:02;0;0;"When a police officer kills a heroin dealer he should get a medal. How many lives did that heroin dealer destroy. He won't ruin any more.";;;;"908858717105414144";https://twitter.com/baber_sxty7gto/status/908858717105414144
ContactCard;2017-09-15 21:00;0;0;"RT @LivingSafely : It may be harder to quit #smoking than stop using #cocaine or #heroin . This September, get help at 1-800-QUIT-NOW!";;@LivingSafely;#smoking #cocaine #heroin;"908858150371110913";https://twitter.com/ContactCard/status/908858150371110913
WrightZ3bmw;2017-09-15 20:54;0;0;"Maybe #suburban heroin dealers are smarter than #urban #heroin dealers I'm just saying they don't get shot often #Tucker";;;#suburban #urban #heroin #Tucker;"908856592485027840";https://twitter.com/WrightZ3bmw/status/908856592485027840
iam_novacaine;2017-09-15 20:52;0;0;"@FoxNews Alot of diff. gangs in STL. Steal pills from the pharma manufacturers and get heroin thru Chicago. Not suburban, sold in East STL";;@FoxNews;;"908856105249464320";https://twitter.com/iam_novacaine/status/908856105249464320
jacenhsolo;2017-09-15 20:52;1;9;"Note to self: if I sell heroin am carrying a gun try to run over a cop then run from a cop I might get shot dead #StLouis";;;#StLouis;"908856048492187653";https://twitter.com/jacenhsolo/status/908856048492187653
magnus50000;2017-09-15 20:49;0;0;"Even If I do think heroin dealers r scum & should b charged with murder, they still get their day in court as opposed 2 shot #Stockley (1/2)";;;#Stockley;"908855406319095808";https://twitter.com/magnus50000/status/908855406319095808
Steve_Stuck;2017-09-15 20:40;0;1;"Some people in Indianapolis get more offended by people smoking cigarettes than the bums downtown shooting up heroin openly";;;;"908853089616220162";https://twitter.com/Steve_Stuck/status/908853089616220162
roydrikow;2017-09-15 20:40;1;2;"STOP DEALING HEROIN IN N STL AND YOU WON'T GET CHASED AND SHOT...JUST SOME ADVICE...JUST A THOUGHT";;;;"908853009177829377";https://twitter.com/roydrikow/status/908853009177829377
SheeitDawg;2017-09-15 20:35;0;4;"Bringing their kids up on the cop car to stomp on it.. And they wonder why they grow up to be heroin dealers who get shot by cops.";;;;"908851710747119616";https://twitter.com/SheeitDawg/status/908851710747119616
podcast_ths;2017-09-15 19:50;0;3;""I feel good" coughs last bit of life away while looking like he's trying to get off heroin . I won't worry 2 much unless he looks bad 2moro";;;;"908840491277475840";https://twitter.com/podcast_ths/status/908840491277475840
AmericanHotLips;2017-09-15 19:39;2;12;"Here's a thought.....don't use heroin & you are less likely to get shot by anyone let alone an LEO.";;;;"908837799322898432";https://twitter.com/AmericanHotLips/status/908837799322898432
oblivioin;2017-09-15 19:21;0;0;"hinos: 13 beaches heroin cherry get free eh isso";;;;"908833141531578368";https://twitter.com/oblivioin/status/908833141531578368
captamerican67;2017-09-15 19:19;0;1;"They'll catch Her! Her response, will be that poor old white lady has #whiteprivlage ! Get a job to support your heroin addiction!";;;#whiteprivlage;"908832698273337344";https://twitter.com/captamerican67/status/908832698273337344
